X,Y,OBJECTID,CountID,ChannelID,LocationDesc,Bound,StartDate,StartDay,StartTime,EndDate,EndDay,EndTime,ADTVolume,Spd50th,Spd70th,Spd85th,Spd90th,PostedSpeed,PctOverPosted,PctOverPosted10,ExceptType,NumChannels,ChannelNum,NumSlots,Conditions,Comment,Duration,IntervalLen,DeviceRef,LocationID,LocationClass,CountLocDesc,CountType
-122.503967874096801,45.550157666859612,11,19111282.SP2,517876,NE 154TH AVE N of BEECH CT / BEECH ST,N,2019-11-12T00:00:00.000Z,TUE,11:00:00,2019-11-15T00:00:00.000Z,FRI,11:00:00,419,21,24,27,28,20,56.4,5.9,Normal Weekday,2,1,13,,@ 3717,73,60,,LEG18179,NODELEG,NE 154TH AVE N of NE BEECH ST,SPEED
-122.503967874096801,45.550157666859612,12,19111282.SP2,517877,NE 154TH AVE N of BEECH CT / BEECH ST,S,2019-11-12T00:00:00.000Z,TUE,11:00:00,2019-11-15T00:00:00.000Z,FRI,11:00:00,672,19,22,25,26,20,44.2,1.3,Normal Weekday,2,2,13,,@ 3717,73,60,,LEG18179,NODELEG,NE 154TH AVE N of NE BEECH ST,SPEED
-122.502509935340157,45.550142933889241,13,19111285.SP2,517863,NE 156TH AVE N of BEECH ST,N,2019-11-12T00:00:00.000Z,TUE,12:00:00,2019-11-15T00:00:00.000Z,FRI,04:00:00,494,19,21,23,24,20,35.2,0.2,Normal Weekday,2,1,13,,@ 3727,65,60,,LEG18233,NODELEG,NE 156TH AVE N of NE BEECH ST,SPEED
-122.502509935340157,45.550142933889241,14,19111285.SP2,517864,NE 156TH AVE N of BEECH ST,S,2019-11-12T00:00:00.000Z,TUE,12:00:00,2019-11-15T00:00:00.000Z,FRI,04:00:00,459,18,20,22,23,20,29.2,0.4,Normal Weekday,2,2,13,,@ 3727,65,60,,LEG18233,NODELEG,NE 156TH AVE N of NE BEECH ST,SPEED
-122.501510246074503,45.526577383768377,15,19050814.SP2,517136,NE 157TH AVE N of GLISAN ST,N,2019-05-08T00:00:00.000Z,WED,11:00:00,2019-05-09T00:00:00.000Z,THU,12:00:00,252,23,25,29,31,20,67.1,11.3,Normal Weekday,2,1,13,,@ 736,26,60,,LEG18265,NODELEG,NE 157TH AVE N of NE GLISAN ST,SPEED
-122.501510246074503,45.526577383768377,16,19050814.SP2,517137,NE 157TH AVE N of GLISAN ST,S,2019-05-08T00:00:00.000Z,WED,11:00:00,2019-05-09T00:00:00.000Z,THU,12:00:00,256,23,26,31,32,20,68.7,16.6,Normal Weekday,2,2,13,,@ 736,26,60,,LEG18265,NODELEG,NE 157TH AVE N of NE GLISAN ST,SPEED
-122.495838038130515,45.546241353294803,17,15102112.SP1,513269,NE 162ND AVE N of FARGO ST,S,2015-10-21T00:00:00.000Z,WED,12:00:00,2015-10-23T00:00:00.000Z,FRI,12:00:00,4728,31,38,40,41,45,2,0.1,Normal Weekday,1,1,13,,@ 3518,49,60,,LEG18483,NODELEG,NE 162ND AVE N of NE FARGO ST,SPEED
-122.495838038130515,45.546241353294803,18,15102203.SP1,513254,NE 162ND AVE N of FARGO ST,N,2015-10-21T00:00:00.000Z,WED,12:00:00,2015-10-23T00:00:00.000Z,FRI,12:00:00,4801,36,39,41,43,45,4.3,0.2,Normal Weekday,1,1,13,,@ 3518,49,60,,LEG18483,NODELEG,NE 162ND AVE N of NE FARGO ST,SPEED
-122.649566959077347,45.526433911005306,19,15102771.SP2,513351,NE 16TH AVE S of GLISAN ST,N,2015-10-27T00:00:00.000Z,TUE,16:00:00,2015-10-30T00:00:00.000Z,FRI,10:00:00,1698,22,25,27,29,25,29.8,0.6,Normal Weekday,2,1,13,,WITH BIKES,67,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,20,15102771.SP2,513352,NE 16TH AVE S of GLISAN ST,S,2015-10-27T00:00:00.000Z,TUE,16:00:00,2015-10-30T00:00:00.000Z,FRI,10:00:00,1171,20,23,25,26,25,15.1,0.2,Normal Weekday,2,2,13,,WITH BIKES,67,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.510197339350881,45.544481926966284,1,15041501.SP1,512484,NE 148TH AVE S of 148TH PL,N,2015-04-27T00:00:00.000Z,MON,15:00:00,2015-04-29T00:00:00.000Z,WED,11:00:00,4962,35,38,40,42,35,49.3,3.9,Normal Weekday,1,1,13,,,45,60,,LEG17936,NODELEG,NE 148TH AVE S of NE 148TH PL,SPEED
-122.510197339350881,45.544481926966284,2,15041504.SP1,512485,NE 148TH AVE S of 148TH PL,S,2015-04-27T00:00:00.000Z,MON,15:00:00,2015-04-29T00:00:00.000Z,WED,12:00:00,5417,35,38,40,41,35,54.3,2.4,Normal Weekday,1,1,13,,,46,60,,LEG17936,NODELEG,NE 148TH AVE S of NE 148TH PL,SPEED
-122.51025167934074,45.539494847353403,3,191001100.SP1,517669,NE 148TH AVE S of SACRAMENTO ST,N,2019-10-01T00:00:00.000Z,TUE,10:00:00,2019-10-02T00:00:00.000Z,WED,10:00:00,6194,43,47,50,52,35,93.6,38.9,Normal Weekday,1,1,13,,,25,60,,LEG17892,NODELEG,NE 148TH AVE S of NE SACRAMENTO ST,SPEED
-122.51025167934074,45.539494847353403,4,191001104.SP1,517668,NE 148TH AVE S of SACRAMENTO ST,S,2019-10-01T00:00:00.000Z,TUE,10:00:00,2019-10-02T00:00:00.000Z,WED,10:00:00,6384,41,43,46,47,35,86.3,19.8,Normal Weekday,1,1,13,,,25,60,,LEG17892,NODELEG,NE 148TH AVE S of NE SACRAMENTO ST,SPEED
-122.651426018964571,45.54811038610432,5,18010305.SP2,515712,NE 14TH AVE S of FREMONT ST,N,2018-01-03T00:00:00.000Z,WED,15:00:00,2018-01-05T00:00:00.000Z,FRI,13:00:00,142,18,20,22,24,25,4.6,0,Normal Weekday,2,1,13,,@ 3343,47,60,,LEG18030,NODELEG,NE 14TH AVE S of NE FREMONT ST,SPEED
-122.651426018964571,45.54811038610432,6,18010305.SP2,515713,NE 14TH AVE S of FREMONT ST,S,2018-01-03T00:00:00.000Z,WED,15:00:00,2018-01-05T00:00:00.000Z,FRI,13:00:00,166,18,21,23,24,25,6.3,0,Normal Weekday,2,2,13,,@ 3343,47,60,,LEG18030,NODELEG,NE 14TH AVE S of NE FREMONT ST,SPEED
-122.651426018964571,45.54811038610432,7,19041801.SP2,517000,NE 14TH AVE S of FREMONT ST,N,2019-04-18T00:00:00.000Z,THU,09:00:00,2019-04-19T00:00:00.000Z,FRI,09:00:00,132,17,18,21,22,25,1.9,0,Normal Weekday,2,1,13,,@ 3343,25,60,,LEG18030,NODELEG,NE 14TH AVE S of NE FREMONT ST,SPEED
-122.651426018964571,45.54811038610432,8,19041801.SP2,517001,NE 14TH AVE S of FREMONT ST,S,2019-04-18T00:00:00.000Z,THU,09:00:00,2019-04-19T00:00:00.000Z,FRI,09:00:00,150,17,19,21,22,25,3,0,Normal Weekday,2,2,13,,@ 3343,25,60,,LEG18030,NODELEG,NE 14TH AVE S of NE FREMONT ST,SPEED
-122.651468612583741,45.541956592715344,9,18021503.SP2,515864,NE 14TH AVE S of KNOTT ST,N,2018-02-15T00:00:00.000Z,THU,14:00:00,2018-02-16T00:00:00.000Z,FRI,14:00:00,123,17,19,22,23,25,4.9,0.5,Normal Weekday,2,1,13,,@ 2544,25,60,,LEG18038,NODELEG,NE 14TH AVE S of NE KNOTT ST,SPEED
-122.651468612583741,45.541956592715344,10,18021503.SP2,515865,NE 14TH AVE S of KNOTT ST,S,2018-02-15T00:00:00.000Z,THU,14:00:00,2018-02-16T00:00:00.000Z,FRI,14:00:00,207,19,21,24,24,25,5.8,0.3,Normal Weekday,2,2,13,,@ 2544,25,60,,LEG18038,NODELEG,NE 14TH AVE S of NE KNOTT ST,SPEED
-122.649566959077347,45.526433911005306,21,15102771A.SP2,513349,NE 16TH AVE S of GLISAN ST,N,2015-10-27T00:00:00.000Z,TUE,16:00:00,2015-10-30T00:00:00.000Z,FRI,10:00:00,1520,23,25,28,29,25,33.2,0.6,Normal Weekday,2,1,13,,WITHOUT BIKES,67,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,22,15102771A.SP2,513350,NE 16TH AVE S of GLISAN ST,S,2015-10-27T00:00:00.000Z,TUE,16:00:00,2015-10-30T00:00:00.000Z,FRI,10:00:00,1009,21,23,26,27,25,17.4,0.2,Normal Weekday,2,2,13,,WITHOUT BIKES,67,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,23,15102771B.SP2,513347,NE 16TH AVE S of GLISAN ST,N,2015-10-27T00:00:00.000Z,TUE,16:00:00,2015-10-30T00:00:00.000Z,FRI,10:00:00,178,9,12,15,16,25,1.3,0,Bike Count,2,1,13,,ONLY BIKES,67,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,24,15102771B.SP2,513348,NE 16TH AVE S of GLISAN ST,S,2015-10-27T00:00:00.000Z,TUE,16:00:00,2015-10-30T00:00:00.000Z,FRI,10:00:00,162,9,13,15,17,25,1.1,0,Bike Count,2,2,13,,ONLY BIKES,67,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,25,190626401.SP2,517396,NE 16TH AVE S of GLISAN ST,N,2019-06-26T00:00:00.000Z,WED,12:00:00,2019-06-27T00:00:00.000Z,THU,13:00:00,2594,22,24,27,28,20,64.5,4.7,Normal Weekday,2,1,13,,WITH BIKES,26,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,26,190626401.SP2,517397,NE 16TH AVE S of GLISAN ST,S,2019-06-26T00:00:00.000Z,WED,12:00:00,2019-06-27T00:00:00.000Z,THU,13:00:00,1192,19,22,24,25,20,41,1.7,Normal Weekday,2,2,13,,WITH BIKES,26,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,27,190626401A.SP2,517398,NE 16TH AVE S of GLISAN ST,N,2019-06-26T00:00:00.000Z,WED,12:00:00,2019-06-27T00:00:00.000Z,THU,13:00:00,2442,22,25,27,28,20,68.4,5,Normal Weekday,2,1,13,,WITHOUT BIKES,26,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,28,190626401A.SP2,517399,NE 16TH AVE S of GLISAN ST,S,2019-06-26T00:00:00.000Z,WED,12:00:00,2019-06-27T00:00:00.000Z,THU,13:00:00,1142,19,22,24,26,20,42.5,1.8,Normal Weekday,2,2,13,,WITHOUT BIKES,26,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,29,16060176.SP2,514077,NE 16TH AVE S of GLISAN ST,N,2016-06-01T00:00:00.000Z,WED,12:00:00,2016-06-03T00:00:00.000Z,FRI,10:00:00,2174,22,25,27,28,25,26.6,0.6,Normal Weekday,2,1,13,,WITH BIKES,47,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,30,16060176.SP2,514078,NE 16TH AVE S of GLISAN ST,S,2016-06-01T00:00:00.000Z,WED,12:00:00,2016-06-03T00:00:00.000Z,FRI,10:00:00,1283,19,22,25,26,25,13.9,0.3,Normal Weekday,2,2,13,,WITH BIKES,47,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,31,16060176A.SP2,514075,NE 16TH AVE S of GLISAN ST,N,2016-06-01T00:00:00.000Z,WED,12:00:00,2016-06-03T00:00:00.000Z,FRI,10:00:00,1931,23,25,27,29,25,29.6,0.7,Normal Weekday,2,1,13,,WITHOUT BIKES,47,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,32,16060176A.SP2,514076,NE 16TH AVE S of GLISAN ST,S,2016-06-01T00:00:00.000Z,WED,12:00:00,2016-06-03T00:00:00.000Z,FRI,10:00:00,1042,21,23,26,27,25,16.9,0.4,Normal Weekday,2,2,13,,WITHOUT BIKES,47,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,33,16060176B.SP2,514073,NE 16TH AVE S of GLISAN ST,N,2016-06-01T00:00:00.000Z,WED,12:00:00,2016-06-03T00:00:00.000Z,FRI,10:00:00,242,11,13,15,16,25,2.3,0.2,Bike Count,2,1,13,,ONLY BIKES,47,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.649566959077347,45.526433911005306,34,16060176B.SP2,514074,NE 16TH AVE S of GLISAN ST,S,2016-06-01T00:00:00.000Z,WED,12:00:00,2016-06-03T00:00:00.000Z,FRI,10:00:00,241,13,15,17,18,25,1.2,0.1,Bike Count,2,2,13,,ONLY BIKES,47,60,,LEG18534,NODELEG,NE 16TH AVE S of NE GLISAN ST,SPEED
-122.646253889664493,45.550909089778465,35,18112915.SP2,516519,NE 19TH AVE N of FAILING ST / RIDGEWOOD DR,N,2018-11-29T00:00:00.000Z,THU,12:00:00,2018-11-30T00:00:00.000Z,FRI,15:00:00,269,19,21,24,25,25,7.4,0,Normal Weekday,2,1,13,,@ 3926,28,60,,LEG18787,NODELEG,NE 19TH AVE N of NE FAILING ST,SPEED
-122.646253889664493,45.550909089778465,36,18112915.SP2,516520,NE 19TH AVE N of FAILING ST / RIDGEWOOD DR,S,2018-11-29T00:00:00.000Z,THU,12:00:00,2018-11-30T00:00:00.000Z,FRI,15:00:00,188,18,21,23,24,25,4,0,Normal Weekday,2,2,13,,@ 3926,28,60,,LEG18787,NODELEG,NE 19TH AVE N of NE FAILING ST,SPEED
-122.644255117496087,45.54064051295402,37,18070974.SP2,516180,NE 21ST AVE N of BRAZEE ST,N,2018-07-09T00:00:00.000Z,MON,13:00:00,2018-07-13T00:00:00.000Z,FRI,12:00:00,3055,23,25,27,28,25,30.7,0.2,Normal Weekday,2,1,13,,@ 2546,96,60,,LEG19021,NODELEG,NE 21ST AVE N of NE BRAZEE ST,SPEED
